Reaction ID;dG0
CA2t3pp;NaN
CA2tex;NaN
CADVtpp;NaN
CAT;-193.0598
CAt6pp;NaN
CBIAT;NaN
CBItonex;NaN
CBIuabcpp;NaN
CBL1abcpp;-26.3928
CBL1tonex;NaN
CBLAT;NaN
CBMD;-9.7293
CBMKr;26.3804
CBPS;-6.5263
CCGS;NaN
CD2abcpp;-26.3928
CD2t3pp;NaN
CD2tex;NaN
CD2tpp;NaN
CDAPPA120;NaN
CDAPPA140;NaN
CDAPPA141;NaN
CDAPPA160;NaN
CDAPPA161;NaN
CDAPPA180;NaN
CDAPPA181;NaN
CDGR;-5.1825
CDGS;NaN
CDPMEK;-5.274
CFAS160E;NaN
CFAS160G;NaN
CFAS180E;NaN
CFAS180G;NaN
CGLYabcpp;-26.3928
CGLYtex;NaN
CHLabcpp;-26.3928
CHLt2pp;NaN
CHLtex;NaN
CHOLD;19.1732
CHORM;-21.0692
CHORS;-48.4888
CHRPL;-88.0923
CHTBSptspp;NaN
CHTBStex;NaN
CINNDO;-391.0426
CITL;4.6265
CITt3pp;NaN
CITt7pp;NaN
CITtex;NaN
CLIPAabctex;NaN
CLPNH120pp;NaN
CLPNH140pp;NaN
CLPNH141pp;NaN
CLPNH160pp;NaN
CLPNH161pp;NaN
CLPNH180pp;NaN
CLPNH181pp;NaN
CLPNS120pp;NaN
CLPNS140pp;NaN
CLPNS141pp;NaN
CLPNS160pp;NaN
CLPNS161pp;NaN
CLPNS180pp;NaN
CLPNS181pp;NaN
CLt3_2pp;NaN
CLtex;NaN
CMPN;-14.1781
CMPtex;NaN
CMtex;NaN
CMtpp;NaN
CO2tex;NaN
CO2tpp;NaN
COBALT2abcpp;-26.3928
COBALT2t3pp;NaN
COBALT2tex;NaN
COBALT2tpp;NaN
COLIPAKpp;NaN
COLIPAPabctex;NaN
COLIPAabcpp;NaN
COLIPAabctex;NaN
CPGNR1;NaN
CPGNR2;NaN
CPGNR3;NaN
CPGNUtex;NaN
CPGNUtpp;NaN
CPGNabcpp;NaN
CPGNexs;NaN
CPGNtonex;NaN
CPH4S;NaN
CPMPS;NaN
CPPPGO;-358.7327
CPPPGO2;49.6217
CRNBTCT;NaN
CRNCAL2;NaN
CRNCAR;NaN
CRNCBCT;NaN
CRNCDH;NaN
CRNDCAL2;NaN
CRNDabcpp;-26.3928
CRNDt2rpp;NaN
CRNDtex;NaN
CRNabcpp;-26.3928
CRNt2rpp;NaN
CRNt7pp;NaN
CRNt8pp;NaN
CRNtex;NaN
CS;-34.6029
CSND;-29.8563
CSNt2pp;NaN
CSNtex;NaN
CTBTCAL2;NaN
CTBTabcpp;-26.3928
CTBTt2rpp;NaN
CTECOAI6;NaN
CTECOAI7;NaN
CTECOAI8;NaN
CTPS2;-12.819
CU1Opp;NaN
CU1abcpp;NaN
CU2abcpp;-26.3928
CU2tex;NaN
CU2tpp;NaN
CUt3;NaN
CUtex;NaN
CYANST;NaN
CYANSTpp;NaN
CYANtex;NaN
CYNTAH;-46.5266
CYNTt2pp;NaN
CYNTtex;NaN
CYSDDS;6.7791
CYSDS;-2.6809
CYSDabcpp;-26.3928
CYSDtex;NaN
CYSS;-49.2312
CYSSADS;-263.5313
CYSTL;1.2585
CYSTRS;NaN
CYSabc2pp;-26.3928
CYSabcpp;-26.3928
CYStex;NaN
CYStpp;NaN
CYTBD2pp;NaN
CYTBDpp;NaN
CYTBO3_4pp;NaN
CYTD;-15.7724
CYTDH;1.5188
CYTDK2;-8.5146
CYTDt2pp_copy1;NaN
CYTDt2pp_copy2;NaN
CYTDtex;NaN
CYTK1;-3.2075
CYTK2;-3.1457
D_LACt2pp;NaN
D_LACtex;NaN
DAAD;20.7603
DADA;-20.5448
DADK;-0.4416
DADNt2pp;NaN
DADNtex;NaN
DAGK120;NaN
DAGK140;NaN
DAGK141;NaN
DAGK160;NaN
DAGK161;NaN
DAGK180;NaN
DAGK181;NaN
DALAt2pp;NaN
DALAtex;NaN
DAMPtex;NaN
DAPAL;-5.507
DAPDC;-17.2807
DAPE;-1.65
DAPabcpp;-26.3928
DAPtex;NaN
DASYN120;NaN
DASYN140;NaN
DASYN141;NaN
DASYN160;NaN
DASYN161;NaN
DASYN180;NaN
DASYN181;NaN
DATPHs;-22.0382
DB4PS;-81.5376
DBTS;10.2062
DC6PH;NaN
DCAtex;NaN
DCMPtex;NaN
DCTPD;-24.8319
DCYTD;-22.5812
DCYTt2pp;NaN
DCYTtex;NaN
DDCAtexi;NaN
DDGALK;-13.5844
DDGLCNt2rpp;NaN
DDGLCNtex;NaN
DDGLK;-20.4753
DDPA;-69.3143
DDPGALA;13.1199
DGK1;0.073655
DGMPtex;NaN
DGSNt2pp;NaN
DGSNtex;NaN
DHACOAH;NaN
DHAD1;-35.5094
DHAD2;-35.5092
DHAPT;-41.412
DHAtex;NaN
DHAtpp;NaN
DHBD;-26.54
DHBS;1167.023
DHBSH;4.4736
DHCIND;-26.5497
DHCINDO;-257.1466
DHDPRy;NaN
DHDPS;NaN
DHFR;-27.3345
DHFS;-14.9139
DHMPTR;NaN
DHNAOT4;NaN
DHNCOAS;NaN
DHNCOAT;NaN
DHNPA2r;12.041
DHNPTE;NaN
DHORD2;NaN
DHORD5;NaN
DHORDfum;-50.3683
DHORTS;-3.6381
DHPPD;NaN
DHPPDA2;-0.85477
DHPS2;-48.2782
DHPTDCs2;NaN
DHPTDNR;NaN
DHPTDNRN;NaN
DHPTPE;NaN
DHQS;-130.7978
DHQTi;-5.2899
DIMPtex;NaN
DINSt2pp;NaN
DINStex;NaN
DKGLCNR1;NaN
DKGLCNR2x;-25.6966
DKGLCNR2y;-26.686
DMATT;-71.179
DMPPS;-66.3932
DMQMT;NaN
DMSOR1;NaN
DMSOR1pp;NaN
DMSOR2;NaN
DMSOR2pp;NaN
DMSOtex;NaN
DMSOtpp;NaN
DMStex;NaN
DNMPPA;-14.7615
DNTPPA;-39.8735
DOGULNR;-20.6512
DOPAtex;NaN
DOXRBCNtex;NaN
DOXRBCNtpp;NaN
DPCOAK;3.6594
DPR;-20.5937
DRPA;20.2104
DSBAO1;NaN
DSBAO2;NaN
DSBCGT;NaN
DSBDR;NaN
DSBGGT;NaN
DSERDHr;23.5012
DSERt2pp;NaN
DSERtex;NaN
DTARTD;-35.2747
DTMPK;-3.1239
DTMPtex;NaN
DUMPtex;NaN
DURADx;1.7558
DURIK1;-12.758
DURIPP;2.338
DURIt2pp;NaN
DURItex;NaN
DUTPDP;-38.276
DXPRIi;-23.2178
DXPS;-29.0159
DXYLK;-12.2893
E4PD;-41.5263
EAR100x;NaN
EAR100y;NaN
EAR120x;NaN
EAR120y;NaN
EAR121x;NaN
EAR121y;NaN
EAR140x;NaN
EAR140y;NaN
EAR141x;NaN
EAR141y;NaN
EAR160x;NaN
EAR160y;NaN
EAR161x;NaN
EAR161y;NaN
EAR180x;NaN
EAR180y;NaN
EAR181x;NaN
EAR181y;NaN
EAR40x;NaN
EAR40y;NaN
EAR60x;NaN
EAR60y;NaN
EAR80x;NaN
EAR80y;NaN
ECA4COLIPAabctex;NaN
ECA4OALpp;NaN
ECAP1pp;NaN
ECAP2pp;NaN
ECAP3pp;NaN
ECAtpp;NaN
ECOAH1;3.7631
ECOAH2;1.0212
ECOAH3;0.67397
ECOAH4;0.67397
ECOAH5;0.67397
ECOAH6;0.67397
ECOAH7;0.67397
ECOAH8;NaN
EDA;15.5307
EDD;-43.0651
EDTXS1;NaN
EDTXS2;NaN
EDTXS3;NaN
EDTXS4;NaN
EGMEACPR;NaN
ENLIPAabctex;-26.3928
ENO;-4.0827
ENTCS;-7049.2737
ENTERES;-170.1614
ENTERES2;NaN
EPMEACPR;NaN
ETHAAL;-36.3069
ETHAt2pp;NaN
ETHAtex;NaN
ETHSO3abcpp;NaN
ETHSO3tex;NaN
ETOHtex;NaN
ETOHtrpp;NaN
F6PA;14.6926
F6PP;-15.6278
F6Pt6_2pp;NaN
F6Ptex;NaN
FA100ACPHi;NaN
FA120ACPHi;NaN
FA140ACPHi;NaN
FA141ACPHi;NaN
FA160ACPHi;NaN
FA161ACPHi;NaN
FA80ACPHi;NaN
FACOAE100;NaN
FACOAE120;NaN
FACOAE140;NaN
FACOAE141;NaN
FACOAE160;-22.2489
FACOAE161;NaN
FACOAE180;-24.9893
FACOAE181;NaN
FACOAE60;NaN
FACOAE80;-24.9992
FACOAL100t2pp;NaN
FACOAL120t2pp;NaN
